source_file,source_id,title,axiom,definitions,action,boundary,test,dg1_dependencies,dg2_new_capability,dg3_preserved_floor,dg4_collapse_if_removed,dg5_translation_registers,dg6_state,dg7_admissible,dg8_closure_pass,claim_class,proof_label,grade,recommended_atom_action,overstatement_risks,kill_conditions,lean_target,plain_summary
AX-132_Relational_Axiom_132.md,AX-132_Relational_Axiom_132,AX-132_Relational_Axiom_132,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-133_Relational_Axiom_133.md,AX-133_Relational_Axiom_133,AX-133_Relational_Axiom_133,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-134_Relational_Axiom_134.md,AX-134_Relational_Axiom_134,AX-134_Relational_Axiom_134,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-135_Relational_Axiom_135.md,AX-135_Relational_Axiom_135,AX-135_Relational_Axiom_135,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-136_Relational_Axiom_136.md,AX-136_Relational_Axiom_136,AX-136_Relational_Axiom_136,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-138_Law_of_Coherence.md,AX-138_Law_of_Coherence,AX-138_Law_of_Coherence,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-139_Law_of_Conservation.md,AX-139_Law_of_Conservation,AX-139_Law_of_Conservation,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-140_Law_of_Amplification.md,AX-140_Law_of_Amplification,AX-140_Law_of_Amplification,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-142_Law_of_Sign.md,AX-142_Law_of_Sign,AX-142_Law_of_Sign,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-143_Law_of_Binding.md,AX-143_Law_of_Binding,AX-143_Law_of_Binding,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-144_Law_of_Resurrection.md,AX-144_Law_of_Resurrection,AX-144_Law_of_Resurrection,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-145_Law_of_Eschatology.md,AX-145_Law_of_Eschatology,AX-145_Law_of_Eschatology,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-146_Law_of_Judgment.md,AX-146_Law_of_Judgment,AX-146_Law_of_Judgment,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-147_Law_of_Unity.md,AX-147_Law_of_Unity,AX-147_Law_of_Unity,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-148_Master_Equation_Form.md,AX-148_Master_Equation_Form,AX-148_Master_Equation_Form,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-161_Omega_Point.md,AX-161_Omega_Point,AX-161_Omega_Point,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-162_Resurrection.md,AX-162_Resurrection,AX-162_Resurrection,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-163_Final_Judgment.md,AX-163_Final_Judgment,AX-163_Final_Judgment,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-177_Testability.md,AX-177_Testability,AX-177_Testability,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-178_External_Consistency.md,AX-178_External_Consistency,AX-178_External_Consistency,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
VALIDATION_REPORT.md,VALIDATION_REPORT,VALIDATION_REPORT,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
